Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018
P/L,-65.98,-45.88,55.23,41.95,91.45,-,-
P/VP,10.63,1.50,3.34,5.14,3.41,-,-
P/EBIT,15.57,2.89,4.95,18.39,31.75,-,-
PSR,3.05,0.53,0.93,3.16,5.84,-,-
P/Ativos,1.32,0.22,0.36,1.24,2.49,-,-
LPA,-1.70,-0.34,0.38,0.86,0.27,-,-
VPA,10.57,10.43,6.32,7.05,7.19,-,-
EBIT por ação,7.22,5.40,4.26,1.97,0.77,-,-
Ativo por ação,84.84,69.70,59.16,29.10,9.84,-,-
Receita líquida por ação,36.81,29.17,22.69,11.47,4.20,-,-
Margem bruta,0.2147,0.2376,0.2218,0.21739999999999998,0.2263,0.2261,0.22010000000000002
Margem líquida,-0.0217,0.0116,0.0287,0.08810000000000001,0.0706,0.0732,0.10189999999999999
Margem EBIT,0.1961,0.1852,0.18780000000000002,0.17149999999999999,0.184,0.1747,0.15109999999999998
Margem EBITDA,0.2808,0.2701,0.2762,0.2698,0.2816,0.2725,
Margem operacional,0.0023,0.0478,0.053399999999999996,0.1162,0.10619999999999999,0.09210000000000002,0.08349999999999999
ROE,-0.0472,0.0217,0.0837,0.1294,0.0404,0.1697,0.2157
ROA,-0.01,0.00,0.01,0.03,0.03,0.06,0.09
Giro do ativo,0.43,0.42,0.38,0.39,0.43,0.78,0.84
EBITDA,1726000000.0,1315000000.0,1046000000.0,516000000.0,197000000.0,131000000.0,
Liquidez corrente,3.01,2.37,2.41,1.67,5.23,1.71,1.15
Liquidez seca,2.84,2.25,2.35,1.61,5.23,1.71,1.15
Liquidez imediata,1.83,1.34,1.57,0.88,3.57,0.59,0.17
Dívida bruta,8594000000.0,7135000000.0,7101000000.0,2667000000.0,207000000.0,320000000.0,201000000.0
Dívida líquida,4877000000.0,4227000000.0,4191000000.0,1874000000.0,-385000000.0,243000000.0,179000000.0
Capital de giro,3907000000.0,2794000000.0,2571000000.0,602000000.0,700000000.0,94000000.0,18000000.0
Endividamento geral,4.021,3.4551,6.6049,2.7260000000000004,0.3414,1.9790999999999999,1.5183000000000002
