Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016
P/L,4.98,9.03,4.44,5.33,5.97,3.76,-,-,-
P/VP,0.52,0.47,0.25,0.33,0.48,0.34,-,-,-
P/EBIT,,,,,,,-,-,-
PSR,0.30,0.25,0.16,0.28,0.49,0.38,-,-,-
P/Ativos,0.05,0.04,0.02,0.03,0.06,0.07,-,-,-
LPA,0.76,0.35,0.39,0.41,0.56,0.63,-,-,-
VPA,7.30,6.73,6.75,6.62,7.08,6.91,-,-,-
EBIT por ação,,,,,,,-,-,-
Ativo por ação,81.27,80.01,80.61,63.32,52.16,35.34,-,-,-
Receita líquida por ação,12.62,12.53,10.72,7.99,6.91,6.20,-,-,-
Margem bruta,0.2572,0.1999,0.2554,0.4069,0.5311,0.4771,0.42219999999999996,0.3078,0.015300000000000001
Margem líquida,0.0605,0.027999999999999997,0.0362,0.0519,0.0816,0.1017,0.053099999999999994,0.0095,0.0212
Margem EBIT,,,,,,,,,
Margem EBITDA,,,,,,,,,
Margem operacional,0.055999999999999994,-0.0174,-0.011000000000000001,0.0151,0.1056,0.024399999999999998,0.107,-0.020099999999999996,0.0152
ROE,0.1045,0.0521,0.0574,0.0626,0.0797,0.09119999999999999,0.0647,0.0102,0.0197
ROA,0.01,0.00,0.00,0.01,0.01,0.02,0.01,0.00,0.00
Giro do ativo,0.16,0.16,0.13,0.13,0.13,0.18,0.17,0.15,0.13
EBITDA,,,,,,,,,
Liquidez corrente,0.78,0.72,1.11,0.68,0.77,1.36,1.47,1.56,1.17
Liquidez seca,,,,,,,,,
Liquidez imediata,,,,,,,,,
Dívida bruta,,,,,,,,,
Dívida líquida,,,,,,,,,
Capital de giro,-4523000000.0,-6902000000.0,2159000000.0,-5672000000.0,-3014000000.0,2883000000.0,3207000000.0,3590000000.0,1371000000.0
Endividamento geral,,,,,,,,,
