Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
P/L,10.62,16.86,8.70,15.86,19.09,10.26,16.04,9.55,-9.79,230.11,342.62,-26.45,-,-
P/VP,0.97,1.44,0.80,2.12,2.35,1.07,0.87,0.57,0.68,0.51,0.44,1.11,-,-
P/EBIT,,,,,,,,,,,,,-,-
PSR,0.50,0.75,0.43,1.17,1.30,0.65,0.50,0.26,0.37,0.25,0.33,0.38,-,-
P/Ativos,0.12,0.20,0.11,0.25,0.32,0.16,0.13,0.08,0.09,0.07,0.07,0.11,-,-
LPA,0.60,0.55,0.56,0.61,0.52,0.41,0.17,0.17,-0.19,0.01,0.00,-0.07,-,-
VPA,6.55,6.39,6.07,4.57,4.19,3.88,3.23,2.80,2.69,2.87,2.86,1.76,-,-
EBIT por ação,,,,,,,,,,,,,-,-
Ativo por ação,52.91,46.37,45.02,38.16,30.70,26.18,21.78,20.61,20.95,19.54,18.93,17.27,-,-
Receita líquida por ação,12.68,12.28,11.21,8.26,7.56,6.42,5.58,6.08,4.98,5.80,3.80,5.18,-,-
Margem bruta,0.48310000000000003,0.49560000000000004,0.48840000000000006,0.6254,0.6164999999999999,0.531,0.5487,0.5529,0.4679,0.3775,0.3697,0.425,0.1168,0.2522
Margem líquida,0.0471,0.0446,0.049699999999999994,0.0739,0.0684,0.0633,0.0313,0.0275,-0.0375,0.0011,0.001,-0.058600000000000006,-0.2146,0.0236
Margem EBIT,,,,,,,,,,,,,,
Margem EBITDA,,,,,,,,,,,,,,
Margem operacional,0.0548,0.0519,0.0582,0.1091,0.0965,0.0246,0.062400000000000004,0.0364,-0.0633,-0.0212,-0.0101,-0.0654,-0.3779,-0.231
ROE,0.0911,0.0857,0.0916,0.1336,0.1233,0.1047,0.0541,0.059800000000000006,-0.0695,0.0022,0.0013,-0.0992,-0.2366,0.0431
ROA,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,-0.01,0.00,0.00,-0.01,-0.04,0.01
Giro do ativo,0.24,0.26,0.25,0.22,0.25,0.25,0.26,0.30,0.24,0.30,0.20,0.20,0.17,0.21
EBITDA,,,,,,,,,,,,,,
Liquidez corrente,1.18,0.94,1.02,1.01,0.67,0.75,0.76,0.77,0.71,0.68,0.68,0.70,0.61,0.66
Liquidez seca,,,,,,,,,,,,,,
Liquidez imediata,,,,,,,,,,,,,,
Dívida bruta,,,,,,,,,,,,,,
Dívida líquida,,,,,,,,,,,,,,
Capital de giro,4331000000.0,-1646000000.0,472000000.0,237000000.0,-7782000000.0,-4951000000.0,-3443000000.0,-3484000000.0,-5115000000.0,-5134000000.0,-4519000000.0,-3628000000.0,-3431000000.0,-2018000000.0
Endividamento geral,,,,,,,,,,,,,,
