Conta,3T2024 (TTM),2023,2022,2021,2020,2019,2018,2017,2016,2015
P/L,7.09,-24.81,-4.35,-12.65,-10.21,19.67,67.57,35.71,-,-
P/VP,0.77,0.72,0.42,2.38,3.43,6.03,20.50,9.22,-,-
P/EBIT,7.31,-8.11,-1.40,-4.31,-8.64,33.19,89.79,56.49,-,-
PSR,,,0.26,1.08,1.78,3.60,12.91,6.97,-,-
P/Ativos,0.23,0.20,0.11,0.38,0.67,1.36,4.67,2.30,-,-
LPA,6.29,-1.51,-5.11,-8.30,-18.01,14.71,13.39,11.24,-,-
VPA,58.17,51.75,52.78,44.18,53.67,47.96,44.15,43.53,-,-
EBIT por ação,6.11,-4.60,-15.91,-24.38,-21.28,8.72,10.08,7.11,-,-
Ativo por ação,194.61,188.26,199.80,275.63,273.40,212.75,193.70,174.36,-,-
Receita líquida por ação,,,85.66,97.10,103.09,80.35,70.08,57.59,-,-
Margem bruta,,,-0.19210000000000002,-0.1974,-0.18469999999999998,0.10460000000000001,0.1975,0.188,0.17809999999999998,0.15560000000000002
Margem líquida,,,-0.059699999999999996,-0.0855,-0.1747,0.18309999999999998,0.1911,0.19519999999999998,0.2047,0.2039
Margem EBIT,,,-0.1857,-0.2511,-0.2064,0.1085,0.1438,0.1234,0.10189999999999999,0.058899999999999994
Margem EBITDA,,,-0.1787,,,,,,,
Margem operacional,,,-0.11800000000000001,-0.1747,-0.2195,0.1793,0.22149999999999997,0.2683,0.299,0.2723
ROE,0.1082,-0.0291,-0.0969,-0.18780000000000002,-0.3356,0.30670000000000003,0.30329999999999996,0.2583,0.2554,0.24059999999999998
ROA,0.03,-0.01,-0.03,-0.03,-0.07,0.07,0.07,0.06,0.06,0.05
Giro do ativo,,,0.43,0.35,0.38,0.38,0.36,0.33,0.30,0.26
EBITDA,579000000.0,-322000000.0,-1260000000.0,,,,,,,
Liquidez corrente,1.20,0.75,0.94,0.81,0.94,0.89,0.93,0.86,0.78,0.85
Liquidez seca,,,,,,,,,,
Liquidez imediata,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00
Dívida bruta,,,,,,,,,,
Dívida líquida,,,,,,,,,,
Capital de giro,832000000.0,-1127000000.0,-311000000.0,-3362000000.0,-1042000000.0,-1349000000.0,-832000000.0,-1401000000.0,-2075000000.0,-1579000000.0
Endividamento geral,2.3453999999999997,2.6375,2.7859,5.2389,4.0943000000000005,3.4361,3.3875,3.0052,3.0978,3.5261
