Conta,3T2024 (TTM),2024,2023,2022,2021,2020,2019
P/L,28.87,58.45,17.77,13.45,-,-,-
P/VP,1.02,1.42,1.95,1.96,-,-,-
P/EBIT,2.69,3.84,5.36,6.86,-,-,-
PSR,0.09,0.14,0.18,0.22,-,-,-
P/Ativos,0.16,0.24,0.39,0.42,-,-,-
LPA,0.07,0.05,0.24,0.30,-,-,-
VPA,2.10,2.07,2.15,2.09,-,-,-
EBIT por ação,0.80,0.77,0.78,0.60,-,-,-
Ativo por ação,13.78,12.38,10.78,9.69,-,-,-
Receita líquida por ação,23.46,21.29,23.75,18.48,-,-,-
Margem bruta,0.0632,0.0713,0.0621,0.061200000000000004,0.0484,0.0479,0.0466
Margem líquida,0.0034000000000000002,0.0028000000000000004,0.0102,0.017,0.0116,0.0208,0.0192
Margem EBIT,0.0341,0.036000000000000004,0.0329,0.0323,0.021,0.037599999999999995,0.0294
Margem EBITDA,0.0741,0.07769999999999999,0.0681,0.06559999999999999,0.032,0.045700000000000005,0.0333
Margem operacional,0.0077,0.0073,0.013300000000000001,0.022000000000000002,0.0168,0.030600000000000002,0.024900000000000002
ROE,0.0366,0.0278,0.1093,0.146,0.18530000000000002,0.5058,0.5574
ROA,0.01,0.00,0.02,0.03,0.03,0.07,0.07
Giro do ativo,1.70,1.72,2.20,1.91,2.85,3.46,3.78
EBITDA,17988000000.0,17131000000.0,16739000000.0,12539000000.0,2861000000.0,4617000000.0,2961000000.0
Liquidez corrente,1.16,1.10,1.06,1.16,1.12,1.12,1.23
Liquidez seca,0.85,0.87,0.83,0.92,0.78,0.77,0.90
Liquidez imediata,0.18,0.29,0.19,0.20,0.20,0.18,0.28
Dívida bruta,61252000000.0,47164000000.0,40269000000.0,32699000000.0,8072000000.0,9135000000.0,5091000000.0
Dívida líquida,50638000000.0,32344000000.0,31536000000.0,24465000000.0,5467000000.0,6968000000.0,2272000000.0
Capital de giro,8977000000.0,5020000000.0,2651000000.0,6630000000.0,1527000000.0,1414000000.0,2267000000.0
Endividamento geral,5.3498,4.7934,3.8704,3.5081,4.595899999999999,6.0252,6.688
