Conta,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017
Receita líquida,1800000000.0,1970000000.0,1800000000.0,1780000000.0,1850000000.0,1840000000.0,1830000000.0,1660000000.0,1720000000.0,1540000000.0,1330000000.0,1360000000.0,1150000000.0,1080000000.0,1070000000.0000001,1080000000.0,1000000000.0,985730000.0,960240000.0,958010000.0,923780000.0,890040000.0,841830000.0,839160000.0,816710000.0,796140000.0,766120000.0,725340000.0,740160000.0,682390000.0,617720000.0
Custos,-1340000000.0,-1410000000.0,-1370000000.0,-1340000000.0,-1470000000.0,-1530000000.0,-1500000000.0,-1290000000.0,-1350000000.0,-1150000000.0,-859570000.0,-942420000.0,-708830000.0,-531380000.0,-581060000.0,-461010000.0,-483420000.0,-406920000.0,-538540000.0,-440540000.0,-508350000.0,-497050000.0,-443640000.0,-417180000.0,-467700000.0,-512570000.00000006,-461930000.0,-480850000.0,-442110000.0,-503940000.0,-487330000.0
Lucro bruto,460560000.0,559420000.0,430010000.0,442740000.0,384850000.0,309240000.0,323220000.0,373040000.0,364870000.0,387660000.0,470400000.0,420930000.0,436350000.0,547670000.0,490940000.0,620310000.0,519440000.00000006,578810000.0,421700000.0,517480000.0,415430000.0,392990000.0,398190000.0,421990000.0,349010000.0,283570000.0,304200000.0,244500000.0,298050000.0,178450000.0,130389999.99999999
Despesas operacionais,-423490000.0,-387410000.0,-400520000.0,-355010000.0,-368320000.0,-448660000.0,-415390000.0,-394760000.0,-386660000.0,-412100000.0,-470810000.0,-411880000.0,-503290000.0,-497500000.0,-440900000.0,-509820000.0,-405180000.0,-424170000.0,-376590000.0,-673780000.0,-342020000.0,-319870000.0,-299850000.0,-270290000.0,-271830000.0,-220090000.0,-243870000.0,-297480000.0,-281330000.0,-218760000.0,-166190000.0
EBIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resultado financeiro,84890000.0,89000.0,615000.0,327000.0,323000.0,-535000.0,-132000.0,-1370000.0,1010000.0,45000.0,72000.0,3260000.0,-49000.0,-5980000.0,30680000.0,5000.0,430000.0,513000.0,-45000.0,-560000.0,113000.0,302000.0,-350000.0,-1160000.0,219000.0,-10010000.0,2660000.0,-971000.0,-2029999.9999999998,23490000.0,36290000.0
Antes dos impostos,121960000.0,172100000.0,30110000.0,88050000.0,16860000.0,-139950000.0,-92300000.0,-23090000.0,-20780000.0,-24390000.0,-335000.0,12320000.0,-66989999.99999999,44190000.0,80710000.0,110500000.0,114700000.0,155150000.0,45060000.0,-156870000.0,73520000.0,73430000.0,97990000.0,150530000.0,77400000.0,53470000.0,62990000.0,-53950000.0,14680000.0,-16830000.0,491000.0
Imposto,39720000.0,-24140000.0,74290000.0,43390000.0,98000000.0,136390000.0,125720000.0,114930000.0,99550000.0,80110000.0,64709999.99999999,40590000.0,136530000.0,44270000.0,20550000.0,62830000.0,-5430000.0,-48580000.0,40560000.0,345970000.0,2540000.0,-6530000.0,-13190000.0,-13580000.0,2470000.0,-14200000.0,-3170000.0,27870000.0,11640000.0,-35100000.0,13100000.0
Op continuadas,69070000.0,115480000.0,102620000.0,107020000.0,94350000.0,45980000.0,39870000.0,55570000.0,1700000.0,-83000.0,8160000.0,686000.0,28330000.0,89030000.0,54120000.0,60750000.0,93340000.0,96220000.0,59770000.0,161840000.0,75340000.0,76560000.0,76070000.0,57960000.0,83840000.0,46830000.0,31220000.0,-562000.0,-37680000.0,44720000.0,5700000.0
Op descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,119350000.0,106800000.0,94380000.0,124390000.0,71660000.0,-14290000.0,22900000.0,72770000.0,53450000.0,51630000.0,48310000.0,48240000.0,42390000.0,65250000.0,86040000.0,76240000.0,96610000.0,80570000.0,75620000.0,162540000.0,66060000.0,61890000.0,76990000.0,39610000.0,55100000.0,44900000.0,31140000.0,5880000.0,3740000.0,11500000.0,5180000.0
Dos controladores,60800000.0,109120000.0,96990000.0,102390000.0,90330000.0,36660000.0,38530000.0,54740000.0,-988000.0,-699000.0,7290000.0,-1580000.0,28600000.0,88990000.0,53650000.0,61380000.0,95060000.0,96980000.0,60260000.0,159520000.0,75020000.0,76850000.0,76000000.0,57830000.0,83850000.0,46630000.0,31140000.0,-583000.0,-37610000.0,44710000.0,5810000.0
Dos não controladores,8270000.0,6370000.0,5630000.0,4630000.0,4030000.0000000005,9310000.0,1340000.0,829000.0,2690000.0,616000.0,874000.0,2260000.0,-266000.0,35000.0,467000.0,-621000.0,-1710000.0,-764000.0,-497000.0,2320000.0,314000.0,-291000.0,74000.0,127000.0,-15000.0,204000.0,83000.0,21000.0,-70000.0,3000.0,-106000.0
