"Conta","3T2024 (TTM)","2023","2022","2021","2020","2019","2018","2017","2016","2015"
"P/L","7,09","-24,81","-4,35","-12,65","-10,21","19,67","
                    
                    67,57
                    
                ","
                    
                    35,71
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/VP","0,77","0,72","0,42","2,38","3,43","6,03","
                    
                    20,50
                    
                ","
                    
                    9,22
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/EBIT","7,31","-8,11","-1,40","-4,31","-8,64","33,19","
                    
                    89,79
                    
                ","
                    
                    56,49
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"PSR","--","--","0,26","1,08","1,78","3,60","
                    
                    12,91
                    
                ","
                    
                    6,97
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"P/Ativos","0,23","0,20","0,11","0,38","0,67","1,36","
                    
                    4,67
                    
                ","
                    
                    2,30
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"LPA","6,29","-1,51","-5,11","-8,30","-18,01","14,71","
                    
                    13,39
                    
                ","
                    
                    11,24
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"VPA","58,17","51,75","52,78","44,18","53,67","47,96","
                    
                    44,15
                    
                ","
                    
                    43,53
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"EBIT por ação","6,11","-4,60","-15,91","-24,38","-21,28","8,72","
                    
                    10,08
                    
                ","
                    
                    7,11
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Ativo por ação","194,61","188,26","199,80","275,63","273,40","212,75","
                    
                    193,70
                    
                ","
                    
                    174,36
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Receita líquida por ação","--","--","85,66","97,10","103,09","80,35","
                    
                    70,08
                    
                ","
                    
                    57,59
                    
                ","
                    
                    -
                    
                ","
                    
                    -
                    
                "
"Margem bruta","--%","--%","-19,21%","-19,74%","-18,47%","10,46%","
                    
                    19,75%
                    
                ","
                    
                    18,80%
                    
                ","
                    
                    17,81%
                    
                ","
                    
                    15,56%
                    
                "
"Margem líquida","--%","--%","-5,97%","-8,55%","-17,47%","18,31%","
                    
                    19,11%
                    
                ","
                    
                    19,52%
                    
                ","
                    
                    20,47%
                    
                ","
                    
                    20,39%
                    
                "
"Margem EBIT","--%","--%","-18,57%","-25,11%","-20,64%","10,85%","
                    
                    14,38%
                    
                ","
                    
                    12,34%
                    
                ","
                    
                    10,19%
                    
                ","
                    
                    5,89%
                    
                "
"Margem EBITDA","--%","--%","-17,87%","--%","--%","--%","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                ","
                    
                    --%
                    
                "
"Margem operacional","--%","--%","-11,80%","-17,47%","-21,95%","17,93%","
                    
                    22,15%
                    
                ","
                    
                    26,83%
                    
                ","
                    
                    29,90%
                    
                ","
                    
                    27,23%
                    
                "
"ROE","10,82%","-2,91%","-9,69%","-18,78%","-33,56%","30,67%","
                    
                    30,33%
                    
                ","
                    
                    25,83%
                    
                ","
                    
                    25,54%
                    
                ","
                    
                    24,06%
                    
                "
"ROA","0,03","-0,01","-0,03","-0,03","-0,07","0,07","
                    
                    0,07
                    
                ","
                    
                    0,06
                    
                ","
                    
                    0,06
                    
                ","
                    
                    0,05
                    
                "
"Giro do ativo","--","--","0,43","0,35","0,38","0,38","
                    
                    0,36
                    
                ","
                    
                    0,33
                    
                ","
                    
                    0,30
                    
                ","
                    
                    0,26
                    
                "
"EBITDA","579 mi","-322 mi","-1.260 mi","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Liquidez corrente","1,20","0,75","0,94","0,81","0,94","0,89","
                    
                    0,93
                    
                ","
                    
                    0,86
                    
                ","
                    
                    0,78
                    
                ","
                    
                    0,85
                    
                "
"Liquidez seca","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Liquidez imediata","0,01","0,00","0,00","0,00","0,00","0,00","
                    
                    0,00
                    
                ","
                    
                    0,00
                    
                ","
                    
                    0,02
                    
                ","
                    
                    0,00
                    
                "
"Dívida bruta","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Dívida líquida","--","--","--","--","--","--","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                ","
                    
                    --
                    
                "
"Capital de giro","832 mi","-1.127 mi","-311 mi","-3.362 mi","-1.042 mi","-1.349 mi","
                    
                    -832 mi
                    
                ","
                    
                    -1.401 mi
                    
                ","
                    
                    -2.075 mi
                    
                ","
                    
                    -1.579 mi
                    
                "
"Endividamento geral","234,54%","263,75%","278,59%","523,89%","409,43%","343,61%","
                    
                    338,75%
                    
                ","
                    
                    300,52%
                    
                ","
                    
                    309,78%
                    
                ","
                    
                    352,61%
                    
                "
